schedule,min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A
ScheduleDay12,ScheduleDay12,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,ScheduleDay12,ScheduleDay12,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,ScheduleDay12,ScheduleDay12,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
ScheduleDay27,ScheduleDay27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,ScheduleDay27,ScheduleDay27,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,ScheduleDay27,ScheduleDay27,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
ScheduleDay54,ScheduleDay54,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,ScheduleDay54,ScheduleDay54,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,ScheduleDay54,ScheduleDay54,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
ScheduleDay49,ScheduleDay49,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,ScheduleDay49,ScheduleDay49,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,ScheduleDay49,ScheduleDay49,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
ScheduleDay7,ScheduleDay7,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,ScheduleDay7,ScheduleDay7,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,ScheduleDay7,ScheduleDay7,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
ScheduleDay46,ScheduleDay46,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,ScheduleDay46,ScheduleDay46,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,ScheduleDay46,ScheduleDay46,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
