schedule,min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A
SmallOfficeHtgSetpDefault,SmallOfficeHtgSetpDefault,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,SmallOfficeHtgSetpDefault,SmallOfficeHtgSetpDefault,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,SmallOfficeHtgSetpDefault,SmallOfficeHtgSetpDefault,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
SmallOfficeClgSetpDefault,SmallOfficeClgSetpDefault,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,SmallOfficeClgSetpDefault,SmallOfficeClgSetpDefault,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,SmallOfficeClgSetpDefault,SmallOfficeClgSetpDefault,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
SmallOfficeBldgEquipDefault,SmallOfficeBldgEquipDefault,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,SmallOfficeBldgEquipDefault,SmallOfficeBldgEquipDefault,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,SmallOfficeBldgEquipDefault,SmallOfficeBldgEquipDefault,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
SmallOfficeBldgOccDefault,SmallOfficeBldgOccDefault,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,SmallOfficeBldgOccDefault,SmallOfficeBldgOccDefault,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,SmallOfficeBldgOccDefault,SmallOfficeBldgOccDefault,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
OfficeSmallBLDG_SWH_SCHWntrDsn|SmrDsn|WkdyDay,OfficeSmallBLDG_SWH_SCHWntrDsn|SmrDsn|WkdyDay,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,OfficeSmallBLDG_SWH_SCHWntrDsn|SmrDsn|WkdyDay,OfficeSmallBLDG_SWH_SCHWntrDsn|SmrDsn|WkdyDay,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,OfficeSmallBLDG_SWH_SCHWntrDsn|SmrDsn|WkdyDay,OfficeSmallBLDG_SWH_SCHWntrDsn|SmrDsn|WkdyDay,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
OfficeBldgLightDefault,OfficeBldgLightDefault,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,OfficeBldgLightDefault,OfficeBldgLightDefault,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,OfficeBldgLightDefault,OfficeBldgLightDefault,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
